#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
3.31677000e+02 3.21705735e-03 8.013055088898543545e+03 1.617253011757609329e+02 2.214259792193868998e+04 
1.66738000e+02 1.57912995e-03 6.994253873268778079e+03 1.645894398732671675e+02 1.547622759724081152e+04 
1.95173000e+02 1.88941789e-03 8.436596771630584044e+03 1.647903693215347118e+02 1.586780654460923142e+04 
1.77941000e+02 1.59743606e-03 7.012546763262789682e+03 1.754837470598569098e+02 1.625938549197765315e+04 
1.81079000e+02 1.75470032e-03 6.865349317863523538e+03 1.629981260072253235e+02 1.665096443934607305e+04 
2.16079000e+02 1.77894668e-03 8.425132627902028617e+03 1.959177503223999395e+02 1.704254338671449659e+04 
2.05820000e+02 2.03756356e-03 7.531704657999631308e+03 1.621315372423441659e+02 1.743412233408291650e+04 
2.22670000e+02 2.20449302e-03 8.018705874170553216e+03 1.633931628408183769e+02 1.782570128145133640e+04 
2.61227000e+02 2.55521377e-03 9.288086159968786887e+03 1.651655266325339539e+02 1.821728022881975630e+04 
2.45600000e+02 2.37833024e-03 8.359160352056438569e+03 1.683062505058727254e+02 1.860885917618817984e+04 
2.51786000e+02 2.30909955e-03 8.223915184315421357e+03 1.770750609258987254e+02 1.900043812355659975e+04 
2.44526000e+02 2.45565316e-03 7.659226395867143765e+03 1.623268733665551053e+02 1.939201707092502329e+04 
2.83853000e+02 2.72742247e-03 8.570020447473316381e+03 1.662934109265546851e+02 1.978359601829344319e+04 
3.00878000e+02 2.92875672e-03 8.743073079052262983e+03 1.629677576239851930e+02 2.017517496566186310e+04 
3.18597000e+02 2.48577885e-03 8.916125710631211405e+03 2.019450329143967906e+02 2.056675391303028300e+04 
2.63791000e+02 2.64964592e-03 7.087609525570416736e+03 1.606284956373241926e+02 2.095833286039870654e+04 
2.67776000e+02 2.60319784e-03 6.934982198608186991e+03 1.656243152362754643e+02 2.134991180776712645e+04 
3.75903000e+02 3.38601981e-03 9.435283605368053031e+03 1.719026568185172152e+02 2.174149075513554635e+04 
3.51583000e+02 3.34777231e-03 8.508063739618783075e+03 1.637148094610010673e+02 2.213306970250396989e+04 
2.01710000e+02 1.43523392e-03 9.781388868525948055e+03 2.250508661118736313e+02 1.508464864987238980e+04 
1.66290000e+02 1.16873576e-03 6.576573797170669422e+03 2.216593944197657606e+02 1.592631098049026150e+04 
1.81705000e+02 1.70258169e-03 7.185599394841737194e+03 1.686500434407126079e+02 1.631788992785868322e+04 
1.84994000e+02 1.29998479e-03 7.038401949442471050e+03 2.254262312703832265e+02 1.670946887522710313e+04 
1.94191000e+02 1.72363488e-03 7.211454581021418562e+03 1.796152523608272986e+02 1.710104782259552667e+04 
2.14214000e+02 2.05820439e-03 7.903665107337207701e+03 1.677407831343066960e+02 1.749262676996394657e+04 
2.48476000e+02 2.52864637e-03 9.158395666525128036e+03 1.598863565187603797e+02 1.788420571733236648e+04 
2.24903000e+02 1.92537286e-03 7.730612475758260189e+03 1.891156189269253787e+02 1.827578466470079002e+04 
2.23006000e+02 1.75971503e-03 7.326495347854764077e+03 2.050118996829236551e+02 1.866736361206920992e+04 
2.48858000e+02 2.37491391e-03 8.076717738916155213e+03 1.704552846107652329e+02 1.905894255943762982e+04 
2.64444000e+02 2.59297773e-03 8.249770370495101815e+03 1.644881697565020602e+02 1.945052150680605337e+04 
2.80698000e+02 2.02445944e-03 8.422823002074050237e+03 2.218451410290435319e+02 1.984210045417447327e+04 
3.35876000e+02 3.11411506e-03 9.719432160671414749e+03 1.689522430057452311e+02 2.023367940154289317e+04 
3.12907000e+02 2.95621062e-03 8.705265615214333593e+03 1.671296313081957408e+02 2.062525834891131672e+04 
3.29174000e+02 2.97398424e-03 8.826258007696984350e+03 1.737649838682974348e+02 2.101683729627973662e+04 
3.52408000e+02 2.76353490e-03 9.115033528389838466e+03 1.987362259735605790e+02 2.140841624364815652e+04 
3.08877000e+02 2.87682930e-03 7.690462220432679715e+03 1.697861889204859835e+02 2.179999519101657643e+04 
4.06136000e+02 3.68122008e-03 9.793954466129092907e+03 1.696031101840868871e+02 2.219157413838499997e+04 
2.00647000e+02 1.47420052e-03 9.634191423126681912e+03 2.178191673557379318e+02 1.514315308575341987e+04 
2.10850000e+02 1.99518989e-03 9.807244054705628514e+03 1.700490485441819715e+02 1.553473203312184160e+04 
